Module,Module Explanation,L2 Classification,L2 Explanation,Lead Metric,Lag Metric,,Check
Orders & Positions,"This is the place where a user looks into their order information. So, anything related to order status such as pending, execution, rejection and cancelled orders and also order history and open orders etc.",Responsible Trading & Risk Management,"This category focuses on responsible trading focused on ensuring a secure, controlled and informed trading environment by implementing risk-mitigation tols, secure trade exit mechanisms, regulatory safegaurds, and responsible leverage usage. ",Click Through Rate (CTR) feature wise,"Revenue, OPC (Orders Per Customer) using secure trade options, TPS (Touch Point Score), Contact Ratio",,
Orders & Positions,"This is the place where a user looks into their order information. So, anything related to order status such as pending, execution, rejection and cancelled orders and also order history and open orders etc.",Trading Experience Enhancements,"This category refers to ehancements for Orders & Positions focus on improving the UI, accessibility, and interaction flow for placing, modifying, and managing trades. It ensures seamless order execution, real-time position tracking, and intuitive navigation, and enhancing clarity for traders.","CTR (On Buy/Sell and Modify Buy/Sell), DAU (Daily Active Users), TAU (Transacting Active user)","Trade Volume, OPC (Order Per Customer)",,
Orders & Positions,"This is the place where a user looks into their order information. So, anything related to order status such as pending, execution, rejection and cancelled orders and also order history and open orders etc.",Smart API,"There category refers to tthe trading via Smart API, where a client can do the trades vis API connection","% of SmartAPI users across overall DAU (Daily Active Users), No of SmartAPI activations","OPC, Revenue, % of Smart API orders out of overall orders",,
Orders & Positions,"This is the place where a user looks into their order information. So, anything related to order status such as pending, execution, rejection and cancelled orders and also order history and open orders etc.",Others,If the PRD does not lie under any of the above category,"DAU (Daily Active Users), TAU (Transacting Active user), Click Through Rate (CTR)","Revenue, OPC, NPS, Contact Ratio",,
ETF,"Identify the PRD’s that explicitly mention ETFs (Exchange Traded Funds) or related terms. Include issues or inquiries about ETF transactions, such as buying, selling, or trading, as well as new features.",ETF Feature Enhancements & Additions,"This category refers to expanding functionalities and improving core features related to Exchange-Traded Funds (ETFs) on the trading platform. It involves introducing new tools, optimizing ETF order execution, ETF SIP and enhancing portfolio management capabilities to provide traders and investors with a seamless experience.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users)","Avg SIP orders/ One-time Orders (Order Per Customer) (OPC), Revenue, TPS (Touch Point Score)",,
ETF,"Identify the PRD’s that explicitly mention ETFs (Exchange Traded Funds) or related terms. Include issues or inquiries about ETF transactions, such as buying, selling, or trading, as well as new features.",ETF SIP Mandate and Payments,"This category ensures secure and automated fund transfers for ETFs, allowing users to set up and manage payment mandates easily.","Click Through Rate (CTR), DAU (Daily Active Users), TAU (Transacting Active user)","Mandate Setup Success Rate, Contact Ratio, TPS (Touch Point Score), User Retry Rate, Revenue",,
ETF,"Identify the PRD’s that explicitly mention ETFs (Exchange Traded Funds) or related terms. Include issues or inquiries about ETF transactions, such as buying, selling, or trading, as well as new features.",ETF Discovery & Engagement (UI/UX Improvement),"This category focuses on improving the user experience/Interface (UI/UX), navigation, and accessibility of ETFs on the platform. It ensures that ETF research, selection, and investment processes are intuitive, engaging, and well-integrated into the user journey.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users)","TPS (Touch Point Score), OPC (Order Per Customer), Revenue",,
ETF,"Identify the PRD’s that explicitly mention ETFs (Exchange Traded Funds) or related terms. Include issues or inquiries about ETF transactions, such as buying, selling, or trading, as well as new features.",others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users)","TPS (Touch Point Score), OPC (Order Per Customer), Revenue, Contact Ratio",,
Homepage,"Anything related to the homepage journey or mentions on Homepage such as most traded stocks, IPO, Stock news, Prediction stocks,","Homepage Personalization, Discovery and Engagement (UI/UX Improvement)","This category focuses on enhancing the user experience (UI/UX), navigation, and content discovery on the homepage to provide a more intuitive, relevant, and engaging platform experience. The goal is to ensure that users can easily access personalized trading insights, market updates, market news, and relevant features while optimizing engagement through an adaptive and visually appealing interface.","Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer) via Homepage, Segment Activations, (Touch Point Promoter Score) ",,
Homepage,Anything related to the homepage journey or mentions on Homepage,Others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer) via Homepage, Segment Activations, (Touch Point Promoter Score) ",,
Funds Addition,"PRDs related to adding funds to an account, including the need for instant deposits, delays in deposits, requests for additional payment methods like UPI and similar methods or options for fund addition, problems encountered during fund addition, and delays in funds reflecting in the account post-deposit.",Payment Methods & Provider Management,"This category focuses on integrating, managing, and optimizing various payment options for adding funds to a trading account. It ensures that users have secure, fast, and seamless payment experiences while allowing flexibility in choosing their preferred payment methods.",CTR (Click Through Rate),"Contact Ratio, TPS (Touch Point Promoter Score), Drop-off in the middle of addition, Transaction Success/Failure Rate, OPC (Order Per Customer), Revenue",,
Funds Addition,"PRDs related to adding funds to an account, including the need for instant deposits, delays in deposits, requests for additional payment methods like UPI and similar methods or options for fund addition, problems encountered during fund addition, and delays in funds reflecting in the account post-deposit.",Error Handling & User Communication,"This category focuses on identifying, communicating, and resolving payment-related errors to ensure a smooth and transparent fund addition experience. It ensures that users receive clear feedback, guided resolution steps, and proactive support when transactions fail or are delayed.","CTR (Click Through Rate), Users Retry rate","Contact Ratio, Retention Rate, Revenue, TPS",,
Funds Addition,"PRDs related to adding funds to an account, including the need for instant deposits, delays in deposits, requests for additional payment methods like UPI and similar methods or options for fund addition, problems encountered during fund addition, and delays in funds reflecting in the account post-deposit.",Others,If the PRD does not lie under any of the above category,CTR (Click Through Rate),"Revenue, Contact Ratio, TPS",,
Funds Withdrawal,"PRDs related to withdrawing funds from an account, including the need for instant withdrawals, delays in processing withdrawals, problems encountered during fund withdrawal, and the settlement process.",Funds Withdrawal & Settlement Processing,"This category focuses on ensuring a smooth, secure, and timely withdrawal process, enabling users to transfer funds from their trading account to their linked bank accounts efficiently. It covers withdrawal request handling, settlement timelines, and backend processing to ensure users receive their funds without delays.",Click Through Rate (CTR),"(Touch Point Promoter Score), Withdrawl Success/Failure Rate",,
Funds Withdrawal,"PRDs related to withdrawing funds from an account, including the need for instant withdrawals, delays in processing withdrawals, problems encountered during fund withdrawal, and the settlement process.",Error Handling & User Communication,"This category ensures that users are promptly informed about withdrawal processing, errors, and delays, providing them with clear resolutions and proactive support to address issues.",Click Through Rate (CTR) on Retry or Re-do,"Time to Error Notification, Contact Ratio, Retention Rate",,
Funds Withdrawal,"PRDs related to withdrawing funds from an account, including the need for instant withdrawals, delays in processing withdrawals, problems encountered during fund withdrawal, and the settlement process.",Others,If the PRD does not lie under any of the above category,CTR (Click Through Rate),Contact Ratio,,
KYC,"anything related to KYC, onboarding, new account opening, and the post KYC like account opening time after KYC for trading and account modification (ddpi activation, phone number update, bank update, bank change, bank addition), segment activation, all kind of activation and registration, activation success page, EMOD, account closure, blocked account, dormant account, reactivation, face verification, KYC activation time improvement, hassle free KYC",KYC Onboarding & Documentation,"This category focuses on the Know Your Customer (KYC) process, ensuring that users can seamlessly verify their identity and complete necessary documentation to activate their trading accounts. It includes document submission, verification checks, and compliance approvals to meet regulatory requirements.","CTRs (Click Through Rate), Drop off rate (this should decrease)","Conversion Rate (Party Code), STP (straight through process) failure rate, TAT",,
KYC,"anything related to KYC, onboarding, new account opening, and the post KYC like account opening time after KYC for trading and account modification (ddpi activation, phone number update, bank update, bank change, bank addition), segment activation, all kind of activation and registration, activation success page, EMOD, account closure, blocked account, dormant account, reactivation, face verification, KYC activation time improvement, hassle free KYC",Account Status & Reactivation,"This category covers scenarios where a user’s trading account is inactive, suspended, or restricted and needs to be reactivated or reinstated. It ensures that users can resume trading after resolving any compliance or operational issues.","Time Taken for Reactivation, CTRs (Click Through Rate) (on KYC Expiry Alert)","Contact Ratio, Retention, Drop Off Rate, STP (straight through process) Failure Rate, TAT",,
KYC,"anything related to KYC, onboarding, new account opening, and the post KYC like account opening time after KYC for trading and account modification (ddpi activation, phone number update, bank update, bank change, bank addition), segment activation, all kind of activation and registration, activation success page, EMOD, account closure, blocked account, dormant account, reactivation, face verification, KYC activation time improvement, hassle free KYC",Account Modification & Updates,"This category focuses on allowing users to update and modify their account details, including personal information, bank details, and trading preferences. It ensures that users have control over their account settings while maintaining security and compliance.",CTR (Click Through Rate),"Account Modification Completion Rate,  Account Modification Failure Rate, (Touch Point Promoter Score), Contact Ratio, TAT",,
KYC,"anything related to KYC, onboarding, new account opening, and the post KYC like account opening time after KYC for trading and account modification (ddpi activation, phone number update, bank update, bank change, bank addition), segment activation, all kind of activation and registration, activation success page, EMOD, account closure, blocked account, dormant account, reactivation, face verification, KYC activation time improvement, hassle free KYC",Account Closure & Deactivation,"This category focuses on managing requests for closing or deactivating trading accounts, ensuring a transparent, compliant, and user-friendly process. It includes voluntary closures, regulatory deactivations, and dispute resolutions before account termination.",CTR (Click Through Rate),"Account Closure Rate, Contact Ratio",,
KYC,"anything related to KYC, onboarding, new account opening, and the post KYC like account opening time after KYC for trading and account modification (ddpi activation, phone number update, bank update, bank change, bank addition), segment activation, all kind of activation and registration, activation success page, EMOD, account closure, blocked account, dormant account, reactivation, face verification, KYC activation time improvement, hassle free KYC",Segment Activation,"This category focuses on activating additional trading segments based on user preferences, risk profile, and compliance requirements. It ensures that users can seamlessly enroll in new asset classes like Futures & Options (F&O), Commodities etc...while meeting eligibility criteria.","Click Through Rate (CTR) (No of Users Requesting), Drop off Rate","Segment Wise Activation Rate, TAT, Delay or Rejection in Segment Activation",,
KYC,"anything related to KYC, onboarding, new account opening, and the post KYC like account opening time after KYC for trading and account modification (ddpi activation, phone number update, bank update, bank change, bank addition), segment activation, all kind of activation and registration, activation success page, EMOD, account closure, blocked account, dormant account, reactivation, face verification, KYC activation time improvement, hassle free KYC",Others,If the PRD does not lie under any of the above category,CTR (Click Through Rate),"Contact Ratio, Coversion Rate",,
IPO,"anything related to IPOs, OFS, Buyback, IPO Mandate, IPO allotment",IPO Mandate & Payments,"This category focuses on processing IPO applications, handling payments, mandates and ensuring secure fund transactions related to IPO investments. It ensures users can seamlessly apply for IPOs and manage their financial obligations through a frictionless payment experience.",Click Through Rate (CTR),"Mandate Setup Success Rate, Mandate Setup Drop Off Rate, Failure Rate, Contact Ratio, TPS (Touch Point Score), Retry Rate, Revenue",,
IPO,"anything related to IPOs, OFS, Buyback, IPO Mandate, IPO allotment",Buyback & Tender Offers,This category covers the process of offering shares back to the company through buybacks and tender offers. It ensures that users can easily participate in corporate actions related to share repurchases.,Click Through Rate (CTR),"Buyback Participation Rate/Buyback Completion Rate, Contact Ratio, Revenue",,
IPO,"anything related to IPOs, OFS, Buyback, IPO Mandate, IPO allotment",IPO User Experience & Accessibility,"This category focuses on improving the UI, navigation, and discoverability of IPOs to increase participation and ensure a frictionless experience for all users.",Click Through Rate (CTR),"TPS (Touch Point Promoter Score), Number of Application, Mandate Creation, Revenue",,
IPO,"anything related to IPOs, OFS, Buyback, IPO Mandate, IPO allotment",OFS,"This category covers the Offer for Sale (OFS) process, where existing shareholders, typically promoters or large investors, sell their stakes in a company through the stock exchange. It ensures that users can apply for OFS seamlessly and track execution status.",Click Through Rate (CTR),"OFS Participation Rate/Success Rate, Revenue",,
IPO,"anything related to IPOs, OFS, Buyback, IPO Mandate, IPO allotment",Others,If the PRD does not lie under any of the above category,Click Through Rate (CTR),"TPS, Revenue, Contact Ratio",,
Portfolio,"anything related to the Portfolio and the PRD’s having mentions such as Dashboard, Investment details, Portfolio Analysis, Family Portfolio, etc",Portfolio UI & Experience Enhancements,"This category focuses on improving the user interface (UI), accessibility, and interaction flow of the portfolio section to ensure a seamless and intuitive experience.","CTR (Click Through Rate), DAU (Daily Active Users) - DAU tracks the total number of unique users who interact with Portfolio daily, TAU (Transacting Active user) - TAU measures the average number of unique users who complete at least one transaction thrugh portfolio over a specified period","TPS (Touch Point Promoter Score), OPC (Orders Per Customer), Revenue",,
Portfolio,"anything related to the Portfolio and the PRD’s having mentions such as Dashboard, Investment details, Portfolio Analysis, Family Portfolio, etc",Portfolio Analysis & Stock Recommendations,"This category focuses on helping users analyze their portfolio performance and providing personalized stock or investment suggestions based on historical trends, and market conditions.","CTR (Click Through Rate), DAU (Daily Active Users) - DAU tracks the total number of unique users who interact with Portfolio daily, TAU (Transacting Active user) - TAU measures the average number of unique users who complete at least one transaction thrugh portfolio over a specified period, Adoption Rate","TPS (Touch Point Promoter Score), OPC (Orders Per Customer), Revenue",,
Portfolio,"anything related to the Portfolio and the PRD’s having mentions such as Dashboard, Investment details, Portfolio Analysis, Family Portfolio, etc",Portfolio Insights & Notifications,"This category ensures that users stay updated with relevant insights, alerts, and notifications related to their portfolio and investments.",CTR (Click Through Rate) (on notifications),"TPS (Touch Point Promoter Score), Contact Ratio",,
Portfolio,"anything related to the Portfolio and the PRD’s having mentions such as Dashboard, Investment details, Portfolio Analysis, Family Portfolio, etc",Others,If the PRD does not lie under any of the above category,Click Through Rate (CTR),TPS (Touch Point Promoter Score),,
Reports,"anything related to the reports like Profit and Loss(PnL), Ledger, Contract Note, Statements, Charges statement and the Download of information etc",Charges & Fee Reports,"This category focuses on providing users with clear, detailed reports on brokerage charges, transaction fees, and other deductions related to their trades and investments.","CTR (Click Through Rate), Downloads","CR (Contact Ratio), Exchange Complaints",,
Reports,"anything related to the reports like Profit and Loss(PnL), Ledger, Contract Note, Statements, Charges statement and the Download of information etc",Reports Accessibility & Download,"This category focuses on improving how users access and retrieve reports, ensuring a seamless, intuitive experience for downloading financial statements.","CTR (Click Through Rate), Downloads","CR (Contact Ratio), Exchange Complaints",,
Reports,"anything related to the reports like Profit and Loss(PnL), Ledger, Contract Note, Statements, Charges statement and the Download of information etc",Reports Generation & Availability,"This category focuses on generating the reports on the app and downloading it in a respective format and also viewing the entire transaction, buy, sell, brokerage reports.","CTR (Click Through Rate), Downloads","CR (Contact Ratio), Exchange Complaints",,
Reports,"anything related to the reports like Profit and Loss(PnL), Ledger, Contract Note, Statements, Charges statement and the Download of information etc",Others,If the PRD does not lie under any of the above category,"CTR (Click Through Rate), Downloads","CR (Contact Ratio), Exchange Complaints",,
Web,"Anything related to the web trading platform. So, the platform is in two modes, web and mobile app. So, the PRD’s specifically mentioning web related keywords should be classified here.",Web Feature Enhancements & Additions,"This category focuses on introducing new functionalities and improving existing features to enhance the overall web trading experience. It ensures that users can access advanced trading tools, automation features, and better integrations.","CTR (Click Through Rate), Adoption rate of feature, DAU (Daily Active User), TAU (Transacting Active User)","Revenue, (Order Per Customer)",,
Web,"Anything related to the web trading platform. So, the platform is in two modes, web and mobile app. So, the PRD’s specifically mentioning web related keywords should be classified here.",Web UI/UX Design Enhancements & Engagement,"This category focuses on improving the design, navigation, and user engagement to make the web trading experience more intuitive and interactive.","CTR (Click Through Rate), Adoption rate of feature, DAU (Daily Active User), TAU (Transacting Active User)","Revenue, (Order Per Customer)",,
Web,"Anything related to the web trading platform. So, the platform is in two modes, web and mobile app. So, the PRD’s specifically mentioning web related keywords should be classified here.",Web Order Execution,"This category ensures that placing, modifying, and managing orders on the web platform is seamless, efficient, and reliable.",CTR (Click Through Rate),"OPC (Order Per Customer), Revenue, Order rejection",,
Web,"Anything related to the web trading platform. So, the platform is in two modes, web and mobile app. So, the PRD’s specifically mentioning web related keywords should be classified here.",Web Analytics & Tracking,"This category focuses on data tracking, user behavior analysis, and performance insights to optimize the web trading experience.",NA,NA,,
Web,"Anything related to the web trading platform. So, the platform is in two modes, web and mobile app. So, the PRD’s specifically mentioning web related keywords should be classified here.",Others,If the PRD does not lie under any of the above category,"DAU (Daily Active User), TAU (Transacting Active User), CTR (Click Through Rate)","Revenue, Orders",,
Order Pad & Order book,"This is the page where a user places an order. So, anything related to order placement journey (trade), Smart orders (like stop-loss, GTT and robot order), cover order, exiting position, Delivery, Intraday, Pay Later and anything related to order book, position book, positions book, open order book, etc",Smart Order Types & Execution,"This category focuses on advanced order types and execution strategies to enhance flexibility, automation, and risk management for traders.","Click Through Rate (CTR), DAU (Daily Active Users), TAU (Transacting Active user)","OPC (Orders Per Customer), Success Rate, Percent of Smart Orders Out of Total, Drop-off Rate, TPS (Touch Point Promoter Score), Revene",,
Order Pad & Order book,"This is the page where a user places an order. So, anything related to order placement journey (trade), Smart orders (like stop-loss, GTT and robot order), cover order, exiting position, Delivery, Intraday, Pay Later and anything related to order book, position book, positions book, open order book, etc",Margin & Balance Display,"This category ensures that traders can clearly see their available margin, fund balances, and risk exposure before placing orders, preventing margin-related execution failures.",Click Through Rate (CTR),"Insufficient Margin Reduction, Errors in Margin, Fund Balance Visibility and Accuracy",,
Order Pad & Order book,"This is the page where a user places an order. So, anything related to order placement journey (trade), Smart orders (like stop-loss, GTT and robot order), cover order, exiting position, Delivery, Intraday, Pay Later and anything related to order book, position book, positions book, open order book, etc",Order Placement,"This category focuses on optimizing the order entry process, ensuring that traders can place orders quickly, accurately, and efficiently.",Order Type Adoption,"Errors on Orderpad, OPC (Orders Per Customer), Segment Wise Orders (Intraday, Delivery, F&O,...), Success Rate, Contact Ratio (No of users contacting the support), Revenue, TPS (Touch Point Promoter Score)",,
Order Pad & Order book,"This is the page where a user places an order. So, anything related to order placement journey (trade), Smart orders (like stop-loss, GTT and robot order), cover order, exiting position, Delivery, Intraday, Pay Later and anything related to order book, position book, positions book, open order book, etc",Order Pad & Order Book UI/UX enhancements,"This category focuses on improving the user experience and accessibility of the order pad and order book, ensuring that users can track, modify, and manage their trades effortlessly.","Order Type Adoption, TAU (Transacting Active user), DAU (Daily Active Users), Click Through Ratio","OPC (Orders Per Customer), Revenue",,
Order Pad & Order book,"This is the page where a user places an order. So, anything related to order placement journey (trade), Smart orders (like stop-loss, GTT and robot order), cover order, exiting position, Delivery, Intraday, Pay Later and anything related to order book, position book, positions book, open order book, etc",Others,If the PRD does not lie under any of the above category,"TAU (Transacting Active user), DAU (Daily Active Users), Click Through Ratio","OPC (Orders Per Customer), Revenue, Contact Ratio",,
Search,"anything related to the search feature, search or find items(stocks, features, etc) in app",Global Search & Market Data Discovery (UI/UX Improvement),"This category focuses on expanding the search functionality to include all market-related data, instruments, ensuring traders can easily find and analyze relevant information.","Successful Click Rate (search), Segment/Sector Level Search, TAU (Transacting Active user), Scroll Depth, Null Search - When a user searches and if nothing appears it is a null search","Activation, TPS (Touch Point Promoter Score), Revenue, OPC (Order Per Customer)",,
Search,"anything related to the search feature, search or find items(stocks, features, etc) in app",Search Optimization & Performance,"Search Optimization & Performance focuses on improving the speed, accuracy, and efficiency of search functionality to ensure users can quickly retrieve relevant information. It enhances query processing, reduces response times, and integrates smart suggestions and ensures the search rate success for a seamless and efficient search experience.","Successful Click Rate (search), Segment/Sector Level Search, TAU (Transacting Active user), Scroll Depth, Null Search -- When a user searches and if nothing appears it is a null search","Activation, TPS (Touch Point Promoter Score), OPC (Order Per Customer)",,
Login/Logout,"Requirement related to Login / Logging in, MPIN, OTP, Logout,automatic logout and in opening app. Focus on PRD’s that pertain to issues, improvements, or user experiences with the login and logout process",Login Flow Optimization,"Login Flow Optimization focuses on streamlining the login and account access process to ensure a seamless, fast, and frictionless experience while maintaining security and compliance. It aims to reduce login time, enhance session management, and minimize user frustration through UI/UX improvements and intelligent automation.",DAU (Daily Active Users),Login Success Rate,,
Login/Logout,"Requirement related to Login / Logging in, MPIN, OTP, Logout,automatic logout and in opening app. Focus on PRD’s that pertain to issues, improvements, or user experiences with the login and logout process",OTP & Alternative Authentication Methods,This category focuses on enhancing login security and flexibility by enabling multiple authentication options.,"DAU (Daily Active Users), Adoption Rate",Login Success Rate,,
Mutual Funds,"Anything related to mutual funds, SIP, MF, Mutual, daily gains, auto deduction, autopay, Excluding Stock SIP. Be aware while classifying Mutual Funds SIP and Stock SIP are different.",MF Mandate and Payments,"This category ensures smooth and secure payment processing for mutual fund investments, including one-time mandates, SIPs, and redemption transactions.","Click Through Rate (CTR) (on SIP & One-time Execution/Mandate Setup), Mandate Initiation","Mandate Setup Success Rate, Mandate Setup Drop Off Rate, Failure Rate, Contact Ratio, TPS (Touch Point Promoter Score), Retry Rate, Revenue",,
Mutual Funds,"Anything related to mutual funds, SIP, MF, Mutual, daily gains, auto deduction, autopay, Excluding Stock SIP. Be aware while classifying Mutual Funds SIP and Stock SIP are different.",MF Feature Enhancements & Addition,This category focuses on introducing new functionalities and improving existing features to enhance the mutual fund investment experience.,"Time spent, Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users)","Avg SIP orders/ One-time Orders (Order Per Customer) (OPC), Revenue, TPS (Touch Point Promoter Score)",,
Mutual Funds,"Anything related to mutual funds, SIP, MF, Mutual, daily gains, auto deduction, autopay, Excluding Stock SIP. Be aware while classifying Mutual Funds SIP and Stock SIP are different.",MF Discovery and Engagement (UI/UX Improvement),"This category focuses on improving the UI, navigation, and engagement for users to easily discover, explore, and compare mutual funds before investing.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users), Adoption rate",TPS (Touch Point Score).,,
Mutual Funds,"Anything related to mutual funds, SIP, MF, Mutual, daily gains, auto deduction, autopay, Excluding Stock SIP. Be aware while classifying Mutual Funds SIP and Stock SIP are different.",MF Order Execution/Creation,"The MF Order Execution/Creation category focuses on placing, managing, and modifying mutual fund investment orders without dealing with payments. It ensures that users can seamlessly subscribe, redeem, or switch funds while tracking order status and NAV allocation in real time.",Click Through Rate (CTR),"SIP Modification rate, Revenue, OPC (Order Per Customer), SIP/Order Success rate, TPS (Touch Point Score).",,
Mutual Funds,"Anything related to mutual funds, SIP, MF, Mutual, daily gains, auto deduction, autopay, Excluding Stock SIP. Be aware while classifying Mutual Funds SIP and Stock SIP are different.",Others,If the PRD does not lie under any of the above category,Click Through Rate (CTR),"TPS (Touch Point Score)., Revenue, Contact Ratio",,
Watchlist,"Anything related to watchlist and screeners/scanners, tools related to watchlist for identifying new trades (other than charts)",Watchlist Discovery and Engagement (UI/UX Improvement),"This category focuses on improving the user interface (UI) and overall user experience (UX) to make it easier for traders to discover, organize, and interact with their watchlists.","Click Through Rate (CTR), DAU (Daily Active Users), TAU (Transacting Active user)","Number of stocks added/user, OPC, Revenue",,
Watchlist,"Anything related to watchlist and screeners/scanners, tools related to watchlist for identifying new trades (other than charts)",Watchlist Feature Enhancements & Addition,"This category focuses on adding new functionalities to enhance the watchlist’s capabilities, providing traders with better tracking, alerts, and insights.","Click Through Rate (CTR), DAU (Daily Active Users), TAU (Transacting Active user)","Number of stocks added/user, OPC, Revenue",,
Watchlist,"Anything related to watchlist and screeners/scanners, tools related to watchlist for identifying new trades (other than charts)",Others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), DAU (Daily Active Users), TAU (Transacting Active user)","Number of stocks added/user, OPC, Revenue",,
